image,thumbnail,link1,link2,link3,name,colorway,releaseDate,releaseYear,retailPrice,silhouette,sku,story,NZDvalue,USDvalue
https://image.goat.com/attachments/product_template_pictures/images/052/843/066/original/GX2828.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/052/843/066/original/GX2828.png.png,https://stockx.com/reebok-zig-dynamica-power-rangers-red-ranger-ps, https://flightclub.com/power-rangers-x-zig-dynamica-j-tyrannosaurus-zord-gx2828, https://goat.com/sneakers/power-rangers-x-zig-dynamica-j-tyrannosaurus-zord-gx2828,Reebok Zig Dynamica Power Rangers Red Ranger (PS),Vector Red/Coal/Boldly Yellow,2021-06-29,2021,65.0,Zig Dynamica,GX2828,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/827/031/original/FY7640.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/827/031/original/FY7640.png.png,, https://flightclub.com/marvel-x-stan-smith-infant-hulk-smash-fy7640,https://goat.com/sneakers/marvel-x-stan-smith-infant-hulk-smash-fy7640,Marvel x Stan Smith Infant 'Hulk Smash',Cloud White/Core Black/Cloud White,2021-06-29,2021,120.0,Stan Smith,FY7640,,484.21999999999997,341
https://image.goat.com/attachments/product_template_pictures/images/056/826/975/original/DA1106_001.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/975/original/DA1106_001.png.png,, https://flightclub.com/wmns-quest-4-black-hyper-pink-da1106-001,https://goat.com/sneakers/wmns-quest-4-black-hyper-pink-da1106-001,Wmns Quest 4 'Black Hyper Pink',Black/Hyper Pink/Dark Smoke Grey/White,2021-06-29,2021,75.0,Quest 4,DA1106-001,,191.7,135
https://image.goat.com/attachments/product_template_pictures/images/056/501/847/original/GY0492.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/501/847/original/GY0492.png.png,https://stockx.com/reebok-zig-kinetica-ii-power-rangers-red-ranger, https://flightclub.com/power-rangers-x-zig-dynamica-2-tyrannosaurs-zord-gy0492, https://goat.com/sneakers/power-rangers-x-zig-dynamica-2-tyrannosaurs-zord-gy0492,Reebok Zig Kinetica II Power Rangers Red Ranger,Vector Red/Coal/Boldly Yellow,2021-06-29,2021,160.0,Zig Kinetica 2,GY0492,"Launching as part of a larger collection celebrating the television superhero series from the ‘90s, the Power Rangers x Reebok Zig Kinetica 2 ‘Dinozord’ takes inspiration from the battle craft piloted by the Red Ranger. The training shoe makes use of a crimson textile upper with a forefoot overlay ringed in a silver dinosaur tooth detailing. Mismatched tongue tags display the Power Rangers’ yellow lightning bolt and an illustrated Tyrannosaurus graphic. In terms of performance, the lightweight build is mounted on a responsive Floatride Fuel midsole with sidewalls arranged in a dynamic zigzag configuration.",0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/933/original/CK0746_004.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/933/original/CK0746_004.png.png,, https://flightclub.com/alpha-huarache-elite-3-low-light-smoke-grey-royal-ck0746-004,https://goat.com/sneakers/alpha-huarache-elite-3-low-light-smoke-grey-royal-ck0746-004,Alpha Huarache Elite 3 Low 'Light Smoke Grey Royal',Light Smoke Grey/Black/White/Game Royal,2021-06-29,2021,90.0,Alpha Huarache,CK0746-004,,184.6,130
https://image.goat.com/attachments/product_template_pictures/images/056/826/929/original/CJ0775_177.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/929/original/CJ0775_177.png.png,, https://flightclub.com/wmns-superrep-cycle-leopard-cj0775-177,https://goat.com/sneakers/wmns-superrep-cycle-leopard-cj0775-177,Wmns SuperRep Cycle 'Leopard',White/Black/Chutney/Volt,2021-06-29,2021,120.0,SuperRep Cycle,CJ0775-177,,242.82,171
https://image.goat.com/attachments/product_template_pictures/images/056/826/939/original/CK0746_800.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/939/original/CK0746_800.png.png,, https://flightclub.com/alpha-huarache-elite-3-low-team-orange-black-ck0746-800,https://goat.com/sneakers/alpha-huarache-elite-3-low-team-orange-black-ck0746-800,Alpha Huarache Elite 3 Low 'Team Orange Black',Team Orange/White/Total Orange/Black,2021-06-29,2021,90.0,Alpha Huarache,CK0746-800,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/955/original/CT2229_103.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/955/original/CT2229_103.png.png,, https://flightclub.com/wmns-zoomx-invincible-run-flyknit-white-black-ct2229-103,https://goat.com/sneakers/wmns-zoomx-invincible-run-flyknit-white-black-ct2229-103,Wmns ZoomX Invincible Run Flyknit 'White Black',White/Black/White,2021-06-29,2021,180.0,ZoomX Invincible,CT2229-103,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/923/original/CD0082_012.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/923/original/CD0082_012.png.png,, https://flightclub.com/vapor-edge-speed-360-black-metallic-gold-cd0082-012,https://goat.com/sneakers/vapor-edge-speed-360-black-metallic-gold-cd0082-012,Vapor Edge Speed 360 'Black Metallic Gold',Black/Black,2021-06-29,2021,95.0,Vapor Edge,CD0082-012,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/993/original/DM8330_400.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/993/original/DM8330_400.png.png,, https://flightclub.com/wmns-daybreak-university-blue-orange-dm8330-400,https://goat.com/sneakers/wmns-daybreak-university-blue-orange-dm8330-400,Wmns Daybreak 'University Blue Orange',University Blue/Summit White/Saffron Quartz/Orange,2021-06-29,2021,90.0,Daybreak,DM8330-400,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/922/original/CD0077_100.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/922/original/CD0077_100.png.png,, https://flightclub.com/vapor-edge-shark-gs-white-black-cd0077-100,https://goat.com/sneakers/vapor-edge-shark-gs-white-black-cd0077-100,Vapor Edge Shark GS 'White Black',White/Black,2021-06-29,2021,38.0,Vapor Edge,CD0077-100,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/971/original/CW7358_500.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/971/original/CW7358_500.png.png,, https://flightclub.com/wmns-air-zoom-pegasus-38-iris-whisper-provence-purple-cw7358-500,https://goat.com/sneakers/wmns-air-zoom-pegasus-38-iris-whisper-provence-purple-cw7358-500,Wmns Air Zoom Pegasus 38 'Iris Whisper Provence Purple',Iris Whisper/Provence Purple/Black/White,2021-06-29,2021,120.0,Air Zoom Pegasus 38,CW7358-500,,0.0,0
